Name,RAdeg,DEdeg,Memb,Disk,Acc,K2var,umag,gmag,rmag,imag,Hamag,SpT,Avmag,Lbol,Mstar,Rstar,logAge,logMacc,DlogMacc+,DlogMacc-,Age_linear,Macc_linear,logMstar,c_value,is_synthetic
EPIC224375291,271.13417,-24.35778,y,y*,2.0,P,19.182,17.039,15.649,14.966,15.239,K5.5,0.586,1.73,0.862,2.334,5.95,-8.702,0.341,,891250.9381337459,1.9860949173573715e-09,-0.0644927341752872,-6.182549780768546,True
05352277-0428510,83.84490966796875,-4.480854988098145,,,,,,,,,,,0.3519999980926513,0.3698281702379536,0.4699999988079071,1.492915834291236,6.269746359554891,-8.234033578951253,,,1860999.941825868,5.8339999498002685e-09,-0.3279021431658131,-5.28375232950521,True
05401274-0228199,85.05310821533203,-2.472201108932495,,,,,,,,,,,0.6460000276565552,0.9908319444593106,0.4460000097751617,2.364429031907467,5.716003327704972,-8.49363028904181,,,519999.9809265137,3.2089999546514103e-09,-0.3506651317692511,-5.745131430162217,True
WFI15936,271.07584,-24.41072,y,n*,1.0,,,19.842,18.235,16.994,17.269,M2.5,0.651,0.517,0.296,2.045,5.79,-8.36,0.365,0.865,616595.0018614822,4.365158322401665e-09,-0.5287082889410615,-5.378725084960104,True
WFI15636,271.1487,-24.41365,y,,2.0,,,18.863,17.376,16.65,16.915,K7.75,0.591,0.458,0.783,1.384,6.6,-9.459,0.309,,3981071.7055349695,3.475361614432061e-10,-0.1062382379420565,-6.62487739623633,True
05352157-0509497,83.83990478515625,-5.163815975189209,,,,,,,,,,,0.7680000066757202,0.1475706633732265,0.3429999947547912,1.0687910770592994,6.558828530993614,-9.18118049896148,,,3621000.051498411,6.588999901246946e-10,-0.4647058865985276,-5.956568308409247,True
EPIC224369815,271.09417,-24.36761,?,n,2.0,MP,14.795,13.688,13.359,13.223,13.303,F1,0.0,6.034,1.596,1.618,7.11,-7.597,0.115,,12882495.51693135,2.5292979964461423e-08,0.2030328870147106,-4.904708973337773,True
05353170-0441077,83.8821029663086,-4.685482978820801,,,,,,,,,,,1.2660000324249268,0.1425607541948693,0.2520000040531158,1.14561586512084,6.327563245381381,-8.479123605628784,,,2125999.9275207524,3.318000096896872e-09,-0.5985994522333535,-5.197412150152731,True
2MASS J18035008-2423230,270.95869,-24.38973,y,,1.0,,,19.391,17.998,17.231,17.105,K1.25,1.906,0.421,0.83,0.842,7.6,-8.669,0.239,0.533,39810717.05534969,2.1428906011200563e-09,-0.0809219076239261,-5.452532806109421,True
EPIC224377629,271.06508,-24.35369,y,n,1.0,P,,17.867,16.285,15.564,15.858,M0.25,0.329,1.418,0.416,2.859,5.46,-8.982,0.513,,288403.1503126605,1.0423174293933055e-09,-0.3809066693732573,-6.304377695927578,True
WFI20559,271.03221,-24.36506,y,,1.0,P,,,18.601,17.608,17.161,M3,0.571,0.305,0.264,1.639,5.97,-8.119,0.092,0.103,933254.3007969904,7.603262769401823e-09,-0.5783960731301689,-5.007251292873042,True
05413275-0157574,85.386474609375,-1.965950965881348,,,,,,,,,,,0.6629999876022339,0.3126079401446998,0.4979999959468841,1.3568702822104604,6.4207806179767415,-8.943476273852971,,,2634999.9904632545,1.1390000054234414e-09,-0.3027706607749127,-5.959665299420583,True
05345201-0524187,83.71674346923828,-5.405220985412598,,,,,,,,,,,1.7280000448226929,0.2937649616481951,0.3379999995231628,1.498861563965303,6.143951118505248,-8.323489270031907,,,1393000.0066757216,4.748000215215595e-09,-0.471083300335031,-5.262192340412732,True
05385200-0246436,84.7166976928711,-2.77879810333252,,,,,,,,,,,0.5860000252723694,0.7585775797141698,0.5389999747276306,1.949107957592096,5.980003363994143,-8.62911696370978,,,954999.9833107,2.3490001055392903e-09,-0.2684112551762498,-5.86556851269923,True
05454612-0044407,86.44220733642578,-0.7446399927139282,,,,,,,,,,,1.3020000457763672,0.2728977716889368,0.3529999852180481,1.4264650080182115,6.216693587350538,-8.688246150050924,,,1646999.955177306,2.049999947573153e-09,-0.4522253127983539,-5.6184765141912845,True
05354987-0518308,83.95781707763672,-5.308582782745361,,,,,,,,,,,2.901000022888184,0.3334264142275879,0.3379999995231628,1.592111510347152,6.078456801458615,-8.20655886212091,,,1197999.9542236335,6.215000070142201e-09,-0.471083300335031,-5.172187814032242,True
WFI20020,271.11138,-24.37049,y,?,2.0,,19.618,17.914,16.485,15.73,16.001,K9.5,0.055,0.85,0.501,2.104,5.86,-9.176,0.488,,724435.9600749906,6.668067692136218e-10,-0.3001622741327542,-6.425700494825794,True
EPIC224393028,270.91133,-24.32589,y,n,2.0,QPS,16.907,15.631,14.984,14.695,14.895,G2.25,0.034,1.324,1.059,1.165,7.36,-8.296,0.015,,22908676.52767775,5.058246620031148e-09,0.0248959601074849,-5.2984682370773015,True
05362788-0625360,84.11619567871094,-6.426677227020264,,,,,,,,,,,0.2140000015497207,0.1355189503115454,0.1940000057220459,1.193603173620758,6.17811324351993,-9.183626107693687,,,1506999.9694824233,6.552000053616811e-10,-0.7121982572602228,-5.834245647526447,True
WFI16479,271.0627,-24.40449,y,n,1.0,,,18.549,17.224,16.581,16.005,K4.25,0.853,0.46,0.984,1.11,7.14,-8.273,0.145,0.148,13803842.64602884,5.333348954876213e-09,-0.0070049015686584,-5.3296572794235,True
WFI19339,271.09201,-24.37712,y,n*,1.0,,,19.494,17.811,16.866,17.091,K6.25,1.57,0.572,0.941,1.408,6.68,-8.77,0.376,0.476,4786300.923226381,1.698243652461746e-09,-0.0264103765727431,-5.9937162155685275,True
VPHAS J180413.7-241725.3,271.05696,-24.29036,y,n*,1.0,,,19.002,17.319,16.437,16.71,K5,2.004,1.156,0.998,1.85,6.32,-8.472,0.21,0.294,2089296.1308540408,3.372873086588692e-09,-0.0008694587126288,-5.872747129504202,True
2MASS J18032507-2400330,270.85448,-24.00919,?,n,2.0,,14.037,12.861,12.747,12.708,12.762,A5.25,0.0,12.318,1.904,1.778,6.9,-7.431,0.057,,7943282.347242822,3.70680721782576e-08,0.2796669440484555,-4.912142049584444,True
05333148-0609541,83.3812026977539,-6.165049076080322,,,,,,,,,,,1.8559999465942385,0.3118889710797116,0.2689999938011169,1.648545336830114,5.965671982874396,-8.76245627056823,,,924000.0247955328,1.7279999653396763e-09,-0.5702477300055503,-5.6617478765949,True
05392639-0215034,84.85999298095703,-2.250967979431152,,,,,,,,,,,0.3210000097751617,0.5345643412021641,0.6769999861717224,1.5501178029246572,6.3800302351920966,-8.919012957169015,,,2398999.9294281024,1.2049999886798431e-09,-0.169411340185675,-6.10352454362815,True
WFI39120,271.02912,-24.20516,y,,1.0,,,19.418,17.9,16.832,16.934,F6,4.378,3.26,1.271,1.469,7.24,-7.533,0.289,0.555,17378008.28749376,2.9308932452503185e-08,0.1041455505540081,-4.6748733894780035,True
WFI13430,271.12881,-24.44584,y,y,1.0,,18.726,17.54,16.236,15.617,15.667,K4.5,0.65,0.984,1.106,1.65,6.53,-8.71,0.139,0.11,3388441.5613920274,1.9498445997580416e-09,0.0437551269686794,-6.07513039643622,True
05470696+0000477,86.77899932861328,0.0132550001144409,,,,,,,,,,,1.4220000505447388,1.093956368298981,0.5809999704360962,2.218119867741602,5.848804682865628,-7.76649624878721,,,705999.9704360979,1.7119999640158342e-08,-0.2358238897085343,-5.093923040207901,True
WFI22010,271.06174,-24.35165,y,n*,1.0,,,19.291,17.495,16.511,16.987,K5,2.524,1.519,0.954,2.121,6.12,-8.771,0.331,,1318256.7385564074,1.694337800447325e-09,-0.0204516252959049,-6.231714611163557,True
WFI16083,271.10488,-24.40907,y,n,1.0,,,20.104,18.403,17.054,17.658,M2.75,1.084,0.678,0.269,2.39,5.25,-8.634,0.425,,177827.94100389228,2.322736796357105e-09,-0.5702477199975919,-5.827517130308806,True
WFI16479,271.0627,-24.40449,y,n,1.0,,,18.549,17.224,16.581,16.005,K4.25,0.853,0.46,0.984,1.11,7.14,-8.273,0.145,0.148,13803842.64602884,5.333348954876213e-09,-0.0070049015686584,-5.3296572794235,True
2MASS J18044729-2417459,271.1972,-24.29606,y,n,1.0,,,19.814,18.102,16.981,17.256,G5.5,4.178,2.336,1.402,1.65,6.97,-7.784,0.263,0.267,9332543.007969905,1.6443717232149325e-08,0.1467480136306398,-5.085294974364171,True
EPIC224375540,270.99326,-24.35738,y,n*,1.0,P,,18.608,16.753,15.814,16.211,K7.5,2.024,2.549,0.59,3.214,5.47,-8.236,0.437,,295120.9226666384,5.8076441752131124e-09,-0.2291479883578558,-5.72674763727672,True
WFI22435,271.08843,-24.34768,y,,1.0,,,19.132,17.458,16.595,16.971,K5,1.933,0.956,1.035,1.683,6.47,-9.226,0.533,,2951209.226666384,5.942921586155714e-10,0.0149403497929365,-6.5830480709953045,True
05352372-0448166,83.84884643554688,-4.80461597442627,,,,,,,,,,,0.6639999747276306,0.1315224885622526,0.2129999995231628,1.148338201595014,6.251151341317024,-8.537751795281114,,,1782999.9923706052,2.898999929001892e-09,-0.6716203975335053,-5.2044627813289805,True
EPIC224357960,270.95742,-24.38908,y,n,1.0,N,17.181,15.983,15.299,15.037,14.902,F9.25,0.984,2.252,1.191,1.397,7.26,-8.112,0.128,0.125,18197008.586099826,7.726805850957022e-09,0.0759117614827775,-5.213561958830791,True
05352157-0509497,83.83990478515625,-5.163815975189209,,,,,,,,,,,0.7680000066757202,0.1475706633732265,0.3429999947547912,1.0687910770592994,6.558828530993614,-9.18118049896148,,,3621000.051498411,6.588999901246946e-10,-0.4647058865985276,-5.956568308409247,True
05354886-0612078,83.95361328125,-6.202184200286865,,,,,,,,,,,0.9020000100135804,1.3243415393751203,0.7289999723434448,2.2174531583191253,5.940516474483186,-8.01108449103795,,,871999.9790191657,9.747999740739036e-09,-0.1372724881581427,-5.412815389206038,True
SCB280,270.98428,-24.37444,?,n*,1.0,P,17.849,16.528,15.78,15.489,15.248,G3.75,0.982,1.489,1.137,1.273,7.26,-8.101,0.137,0.184,18197008.586099826,7.925013304804703e-09,0.0557604646877347,-5.179659030244272,True
WFI35073,271.1207,-24.2358,y,n,1.0,,,18.077,16.575,15.702,16.077,G9.75,2.554,2.492,1.567,1.874,6.76,-8.433,0.189,0.371,5754399.373371567,3.6897759857015053e-09,0.1950689964685901,-5.8755488651734735,True
2MASS J18025113-2418077,270.71307,-24.30218,y,y,2.0,,19.782,18.624,17.079,16.246,16.411,K6.5,0.846,0.629,0.891,1.499,6.55,-8.887,0.35,0.472,3548133.892335753,1.2971792709839544e-09,-0.0501222959631252,-6.137211784238376,True
05395465-0246341,84.97772979736328,-2.7761390209198,,,,,,,,,,,0.9710000157356262,1.3091819190464828,0.5289999842643738,2.4876938434082163,5.693726938233895,-7.815308583671066,,,493999.98784065264,1.5299999489570837e-08,-0.2765443408833317,-5.160209828379852,True
05353333-0451113,83.888916015625,-4.853157997131348,,,,,,,,,,,1.3919999599456787,0.2612161328586812,0.402999997138977,1.337916669435967,6.348694212161916,-9.007446475664317,,,2232000.112533572,9.830000147203974e-10,-0.3946949569420829,-5.948795075937149,True
VPHAS J180337.3-243216.7,270.90555,-24.53799,?,n*,1.0,,,18.999,17.676,16.991,17.037,K2.25,1.38,0.392,0.843,0.876,7.53,-9.017,0.354,0.537,33884415.61392027,9.616122783836659e-10,-0.0741724253752576,-5.836982168983486,True
