Name,RAdeg,DEdeg,Memb,Disk,Acc,K2var,umag,gmag,rmag,imag,Hamag,SpT,Avmag,Lbol,Mstar,Rstar,logAge,logMacc,DlogMacc+,DlogMacc-,Age_linear,Macc_linear,logMstar,c_value
EPIC224308921,271.094,-24.47806,y,y*,1.0,QPS,16.312,15.104,14.478,14.16,14.347,F5.25,1.019,4.872,1.377,1.734,7.14,-8.284,0.259,,13803842.646028839,5.199959965335152e-09,0.13893394025692368,-5.506523868870637
EPIC224311070,270.96517,-24.47403,y,y,1.0,APD,16.885,15.4,14.494,14.069,14.171,G6,1.113,5.305,1.931,2.509,6.57,-8.082,0.225,0.719,3715352.290971728,8.279421637123328e-09,0.28578227377939475,-5.705761303203872
EPIC224311432,271.16433,-24.47342,?,n,1.0,N,15.811,14.593,13.926,13.638,13.665,G4.5,0.336,4.717,1.802,2.301,6.69,-8.268,0.457,0.277,4897788.193684466,5.395106225151267e-09,0.2557547866430442,-5.80829946444979
EPIC224313065,271.171,-24.47042,?,n,1.0,N,15.5,14.39,13.908,13.725,13.772,G1.25,0.217,4.459,1.612,2.1,6.86,-8.097,0.161,0.166,7244359.600749906,7.998342550070293e-09,0.20736503746907187,-5.512412130573788
EPIC224316080,271.08642,-24.46494,y,n,1.0,QPS,16.018,14.764,14.079,13.751,13.894,F8.75,0.853,6.089,1.616,2.246,6.9,-8.036,0.174,0.314,7943282.347242822,9.204495717531723e-09,0.20844135643856737,-5.436190706196783
EPIC224316091,271.18975,-24.46481,?,n,1.0,N,18.786,17.278,15.975,15.343,15.366,K6.5,0.434,1.306,0.759,2.161,5.99,-8.195,0.285,0.253,977237.2209558112,6.3826348619054826e-09,-0.11975822410451964,-5.596293151175351
EPIC224319597,271.14721,-24.45842,y,n,2.0,P,19.953,17.504,15.952,15.159,15.548,K7.5,1.041,2.425,0.592,3.135,5.49,-8.806,0.451,,309029.5432513592,1.563147642640957e-09,-0.22767829327708025,-6.29019566058542
EPIC224321029,270.98583,-24.45581,?,y,1.0,N,15.868,14.783,14.251,14.008,14.092,F5.75,0.47,3.768,1.304,1.56,7.21,-8.231,0.184,0.454,16218100.9735893,5.8748935252977685e-09,0.11527759139590141,-5.39785903006056
EPIC224326168,271.205,-24.44647,y,n,2.0,MP,19.313,17.232,15.69,14.953,15.158,K7.75,0.821,2.621,0.567,3.309,5.42,-7.804,0.148,0.233,263026.7991895382,1.5703628043335516e-08,-0.24641694110709347,-5.295676524363211
EPIC224326526,270.97508,-24.44586,y,n,2.0,N,15.73,14.57,13.992,13.739,13.881,G1.75,0.145,3.734,1.532,1.939,6.91,-7.791,0.022,,8128305.161640995,1.6180800376430644e-08,0.18525876529658514,-5.160731385895568
EPIC224326666,271.01233,-24.44561,y,n,1.0,QPS,,17.789,16.31,15.61,15.364,K7.75,0.632,1.275,0.619,2.308,5.82,-7.711,0.208,0.282,660693.4480075964,1.9453600816226615e-08,-0.208309350979882,-5.081540521200244
EPIC224327883,270.98263,-24.44344,y,y,1.0,QPS,13.975,12.995,12.848,12.766,12.77,A3.75,0.635,20.429,1.917,2.144,6.83,-7.194,0.148,,6760829.753919818,6.397348354826482e-08,0.2826221128780626,-4.707278990773915
EPIC224329877,271.05801,-24.43988,y,y*,2.0,P,20.13,17.754,16.182,15.314,15.683,K7,0.759,1.405,0.688,2.315,5.86,-8.9,0.469,,724435.9600749906,1.2589254117941663e-09,-0.16241156176448873,-6.306260877028528
EPIC224331438,271.05457,-24.43709,y,y,1.0,S,,18.798,16.927,16.094,15.889,M0.25,1.436,1.943,0.403,3.347,5.01,-7.155,0.144,0.117,102329.29922807537,6.998419960022731e-08,-0.39469495385889053,-4.646709663906592
EPIC224332703,271.034,-24.43475,y,n,2.0,QPS,16.859,15.152,13.911,13.307,13.565,K2.75,0.87,8.673,1.495,4.33,5.53,-7.995,0.596,,338844.15613920277,1.0115794542598983e-08,0.17464119266044847,-5.920006604366411
EPIC224334564,270.97396,-24.43133,?,,2.0,N,15.168,13.906,13.274,12.994,13.102,F7.5,0.696,11.118,1.887,2.881,6.75,-8.011,0.117,,5623413.251903491,9.749896377173886e-09,0.27577190016493136,-5.54938281739569
EPIC224337991,271.00158,-24.42508,y,n*,2.0,QPS,19.074,17.662,16.284,15.552,15.327,K9.5,0.0,0.992,0.49,2.272,5.77,-7.852,0.122,0.101,588843.6553555884,1.4060475241299129e-08,-0.3098039199714863,-5.127742900282095
EPIC224338159,270.99521,-24.42478,y,n,1.0,P?,,18.042,16.489,15.636,15.661,K9.25,0.555,1.227,0.494,2.487,5.68,-7.822,0.233,0.195,478630.092322638,1.506607066186742e-08,-0.30627305107635305,-5.138756509196072
EPIC224338514,271.06424,-24.42412,y,?,1.0,P,,18.623,17.05,16.172,16.505,K7.5,0.755,0.673,0.743,1.651,6.33,-8.996,0.249,0.249,2137962.0895022326,1.0092528860766834e-09,-0.1290111862394247,-6.246996647469141
